
*************************
hdFourPro(): Four Processors:
Grid_SPEC: (WxH) 100x100
Tolerance Level: 0.1
Final accumulative difference between grids: 0.0999667
Iteration Count: 4224
CPU Time(Ticks): 4.07386e+06
CPU Time(Seconds): 4.07386s
OMP Wall Time(Seconds): 2.20627s
OMP Timer Precision(Seconds): 0
********************************
FINAL GRID: 
***********************************
[       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0]
[     100][ 99.2022][ 98.4056][ 97.6111][ 96.8198][ 96.0329][ 95.2513][ 94.4762][ 93.7084][  92.949][ 92.1989][  91.459][ 90.7303][ 90.0135][ 89.3094][ 88.6189][ 87.9425][ 87.2811][ 86.6353][ 86.0055][ 85.3925][ 84.7967][ 84.2186][ 83.6586][ 83.1171][ 82.5945][ 82.0912][ 81.6073][ 81.1433][ 80.6993][ 80.2755][ 79.8721][ 79.4894][ 79.1273][ 78.7861][ 78.4659][ 78.1668][ 77.8888][  77.632][ 77.3965][ 77.1823][ 76.9894][ 76.8179][ 76.6678][ 76.5391][ 76.4318][  76.346][ 76.2816][ 76.2387][ 76.2173][ 76.2173][ 76.2387][ 76.2817][ 76.3461][ 76.4319][ 76.5392][ 76.6679][  76.818][ 76.9896][ 77.1825][ 77.3967][ 77.6323][ 77.8891][ 78.1671][ 78.4662][ 78.7865][ 79.1276][ 79.4897][ 79.8725][ 80.2758][ 80.6996][ 81.1437][ 81.6077][ 82.0916][  82.595][ 83.1175][  83.659][  84.219][ 84.7971][ 85.3929][ 86.0059][ 86.6357][ 87.2815][ 87.9429][ 88.6192][ 89.3098][ 90.0138][ 90.7306][ 91.4593][ 92.1992][ 92.9493][ 93.7086][ 94.4764][ 95.2515][ 96.0331][   96.82][ 97.6112][ 98.4056][ 99.2023][     100]
[     100][ 99.2316][ 98.4642][ 97.6989][ 96.9366][ 96.1785][ 95.4254][ 94.6784][ 93.9384][ 93.2063][ 92.4831][ 91.7696][ 91.0667][ 90.3751][ 89.6957][ 89.0291][ 88.3761][ 87.7372][ 87.1133][ 86.5047][ 85.9121][  85.336][ 84.7768][ 84.2349][ 83.7109][ 83.2049][ 82.7174][ 82.2487][  81.799][ 81.3686][ 80.9577][ 80.5665][ 80.1952][ 79.8439][ 79.5127][ 79.2019][ 78.9114][ 78.6414][ 78.3919][ 78.1631][ 77.9549][ 77.7675][ 77.6007][ 77.4548][ 77.3297][ 77.2254][ 77.1419][ 77.0793][ 77.0376][ 77.0167][ 77.0168][ 77.0376][ 77.0794][  77.142][ 77.2255][ 77.3298][  77.455][ 77.6009][ 77.7676][ 77.9551][ 78.1633][ 78.3922][ 78.6417][ 78.9117][ 79.2022][ 79.5131][ 79.8442][ 80.1955][ 80.5669][ 80.9581][  81.369][ 81.7994][ 82.2491][ 82.7178][ 83.2053][ 83.7113][ 84.2353][ 84.7772][ 85.3364][ 85.9125][ 86.5051][ 87.1137][ 87.7376][ 88.3764][ 89.0294][  89.696][ 90.3755][  91.067][ 91.7699][ 92.4834][ 93.2066][ 93.9386][ 94.6786][ 95.4256][ 96.1786][ 96.9368][  97.699][ 98.4643][ 99.2316][     100]
[     100][ 99.2599][ 98.5208][ 97.7836][ 97.0493][ 96.3189][ 95.5934][ 94.8736][ 94.1605][ 93.4549][ 92.7577][ 92.0697][ 91.3918][ 90.7246][ 90.0691][ 89.4258][ 88.7954][ 88.1785][ 87.5759][ 86.9879][ 86.4153][ 85.8583][ 85.3176][ 84.7935][ 84.2865][ 83.7969][ 83.3249][ 82.8711][ 82.4355][ 82.0185][ 81.6203][ 81.2411][  80.881][ 80.5403][ 80.2191][ 79.9175][ 79.6356][ 79.3735][ 79.1313][ 78.9091][ 78.7069][ 78.5248][ 78.3629][ 78.2211][ 78.0995][ 77.9982][ 77.9171][ 77.8562][ 77.8157][ 77.7954][ 77.7954][ 77.8157][ 77.8563][ 77.9171][ 77.9983][ 78.0996][ 78.2212][  78.363][  78.525][ 78.7071][ 78.9093][ 79.1315][ 79.3738][ 79.6359][ 79.9178][ 80.2194][ 80.5407][ 80.8814][ 81.2414][ 81.6207][ 82.0189][ 82.4359][ 82.8715][ 83.3253][ 83.7973][ 84.2869][  84.794][  85.318][ 85.8587][ 86.4157][ 86.9883][ 87.5763][ 88.1789][ 88.7958][ 89.4261][ 90.0694][  90.725][ 91.3921][   92.07][ 92.7579][ 93.4551][ 94.1607][ 94.8738][ 95.5936][ 96.3191][ 97.0495][ 97.7837][ 98.5208][ 99.2599][     100]
[     100][ 99.2872][ 98.5754][ 97.8654][ 97.1582][ 96.4546][ 95.7557][ 95.0622][  94.375][  93.695][  93.023][ 92.3597][  91.706][ 91.0626][ 90.4303][ 89.8095][ 89.2012][ 88.6057][ 88.0238][ 87.4559][ 86.9027][ 86.3645][ 85.8419][ 85.3351][ 84.8448][ 84.3711][ 83.9145][ 83.4752][ 83.0535][ 82.6496][ 82.2639][ 81.8965][ 81.5476][ 81.2173][ 80.9059][ 80.6134][   80.34][ 80.0857][ 79.8507][ 79.6351][ 79.4389][ 79.2621][ 79.1049][ 78.9672][ 78.8492][ 78.7508][  78.672][ 78.6129][ 78.5735][ 78.5538][ 78.5538][ 78.5735][  78.613][ 78.6721][ 78.7509][ 78.8493][ 78.9674][ 79.1051][ 79.2623][ 79.4391][ 79.6353][  79.851][  80.086][ 80.3403][ 80.6137][ 80.9062][ 81.2177][ 81.5479][ 81.8969][ 82.2643][   82.65][ 83.0539][ 83.4755][ 83.9149][ 84.3715][ 84.8452][ 85.3356][ 85.8423][ 86.3649][ 86.9031][ 87.4564][ 88.0242][ 88.6061][ 89.2015][ 89.8099][ 90.4306][  91.063][ 91.7064][   92.36][ 93.0233][ 93.6953][ 94.3752][ 95.0624][ 95.7559][ 96.4548][ 97.1583][ 97.8655][ 98.5754][ 99.2873][     100]
[     100][ 99.3136][ 98.6281][ 97.9444][ 97.2633][ 96.5857][ 95.9125][ 95.2444][ 94.5824][ 93.9271][ 93.2795][ 92.6402][ 92.0101][ 91.3897][ 90.7798][  90.181][  89.594][ 89.0194][ 88.4577][ 87.9094][ 87.3751][ 86.8552][ 86.3502][ 85.8604][ 85.3864][ 84.9284][ 84.4867][ 84.0617][ 83.6536][ 83.2627][ 82.8893][ 82.5335][ 82.1955][ 81.8756][ 81.5738][ 81.2903][ 81.0252][ 80.7787][ 80.5509][ 80.3417][ 80.1514][ 79.9799][ 79.8274][ 79.6938][ 79.5792][ 79.4837][ 79.4073][ 79.3499][ 79.3117][ 79.2926][ 79.2926][ 79.3117][   79.35][ 79.4074][ 79.4838][ 79.5794][  79.694][ 79.8275][ 79.9801][ 80.1516][  80.342][ 80.5511][  80.779][ 81.0255][ 81.2906][ 81.5741][ 81.8759][ 82.1959][ 82.5338][ 82.8896][ 83.2631][  83.654][ 84.0621][ 84.4871][ 84.9288][ 85.3868][ 85.8609][ 86.3506][ 86.8556][ 87.3755][ 87.9098][ 88.4581][ 89.0198][ 89.5944][ 90.1814][ 90.7801][   91.39][ 92.0104][ 92.6405][ 93.2798][ 93.9274][ 94.5826][ 95.2446][ 95.9127][ 96.5859][ 97.2635][ 97.9445][ 98.6282][ 99.3137][     100]
[     100][ 99.3392][ 98.6791][ 98.0208][  97.365][ 96.7125][ 96.0641][ 95.4207][  94.783][ 94.1517][ 93.5277][ 92.9117][ 92.3043][ 91.7062][ 91.1182][ 90.5408][ 89.9746][ 89.4202][ 88.8781][ 88.3489][ 87.8331][  87.331][ 86.8433][ 86.3701][  85.912][ 85.4693][ 85.0423][ 84.6313][ 84.2366][ 83.8584][  83.497][ 83.1527][ 82.8255][ 82.5157][ 82.2234][ 81.9488][  81.692][ 81.4532][ 81.2323][ 81.0296][ 80.8451][ 80.6789][ 80.5309][ 80.4014][ 80.2903][ 80.1977][ 80.1235][ 80.0679][ 80.0308][ 80.0123][ 80.0123][ 80.0309][  80.068][ 80.1236][ 80.1978][ 80.2904][ 80.4016][ 80.5311][ 80.6791][ 80.8453][ 81.0298][ 81.2326][ 81.4534][ 81.6923][ 81.9491][ 82.2237][  82.516][ 82.8258][  83.153][ 83.4974][ 83.8588][  84.237][ 84.6317][ 85.0427][ 85.4697][ 85.9124][ 86.3705][ 86.8437][ 87.3315][ 87.8335][ 88.3493][ 88.8785][ 89.4206][ 89.9749][ 90.5411][ 91.1185][ 91.7066][ 92.3046][  92.912][  93.528][  94.152][ 94.7832][ 95.4209][ 96.0643][ 96.7126][ 97.3651][ 98.0209][ 98.6792][ 99.3392][     100]
[     100][ 99.3638][ 98.7285][ 98.0947][ 97.4633][ 96.8351][ 96.2108][ 95.5912][ 94.9771][ 94.3691][  93.768][ 93.1745][ 92.5892][ 92.0128][  91.446][ 90.8893][ 90.3433][ 89.8086][ 89.2857][ 88.7751][ 88.2773][ 87.7927][ 87.3217][ 86.8648][ 86.4223][ 85.9946][ 85.5819][ 85.1846][  84.803][ 84.4374][ 84.0878][ 83.7547][ 83.4381][ 83.1383][ 82.8554][ 82.5896][ 82.3409][ 82.1096][ 81.8957][ 81.6994][ 81.5206][ 81.3595][ 81.2162][ 81.0907][  80.983][ 80.8932][ 80.8213][ 80.7674][ 80.7315][ 80.7135][ 80.7135][ 80.7315][ 80.7675][ 80.8214][ 80.8933][ 80.9831][ 81.0908][ 81.2164][ 81.3597][ 81.5208][ 81.6996][  81.896][ 82.1099][ 82.3412][ 82.5899][ 82.8557][ 83.1386][ 83.4385][  83.755][ 84.0882][ 84.4377][ 84.8034][  85.185][ 85.5823][  85.995][ 86.4227][ 86.8652][ 87.3221][ 87.7931][ 88.2777][ 88.7755][ 89.2861][  89.809][ 90.3437][ 90.8897][ 91.4464][ 92.0132][ 92.5895][ 93.1748][ 93.7683][ 94.3693][ 94.9773][ 95.5914][  96.211][ 96.8353][ 97.4635][ 98.0948][ 98.7286][ 99.3639][     100]
[     100][ 99.3877][ 98.7762][ 98.1663][ 97.5585][ 96.9538][ 96.3528][ 95.7563][  95.165][ 94.5796][ 94.0007][  93.429][ 92.8652][ 92.3099][ 91.7637][ 91.2272][ 90.7009][ 90.1853][ 89.6811][ 89.1886][ 88.7083][ 88.2407][ 87.7862][ 87.3451][ 86.9178][ 86.5048][ 86.1062][ 85.7224][ 85.3536][ 85.0002][ 84.6623][ 84.3402][  84.034][ 83.7441][ 83.4704][ 83.2132][ 82.9726][ 82.7487][ 82.5416][ 82.3515][ 82.1785][ 82.0225][ 81.8837][ 81.7621][ 81.6578][ 81.5708][ 81.5012][  81.449][ 81.4141][ 81.3967][ 81.3967][ 81.4142][  81.449][ 81.5013][ 81.5709][ 81.6579][ 81.7622][ 81.8838][ 82.0227][ 82.1787][ 82.3518][ 82.5419][ 82.7489][ 82.9728][ 83.2135][ 83.4707][ 83.7444][ 84.0344][ 84.3405][ 84.6627][ 85.0006][  85.354][ 85.7228][ 86.1066][ 86.5052][ 86.9182][ 87.3455][ 87.7866][ 88.2411][ 88.7087][  89.189][ 89.6815][ 90.1857][ 90.7012][ 91.2275][ 91.7641][ 92.3102][ 92.8655][ 93.4293][  94.001][ 94.5798][ 95.1653][ 95.7566][  96.353][  96.954][ 97.5587][ 98.1664][ 98.7763][ 99.3878][     100]
[     100][ 99.4109][ 98.8225][ 98.2355][ 97.6507][ 97.0688][ 96.4904][ 95.9163][ 95.3471][ 94.7835][ 94.2262][ 93.6757][ 93.1328][ 92.5979][ 92.0717][ 91.5548][ 91.0476][ 90.5508][ 90.0647][ 89.5898][ 89.1267][ 88.6757][ 88.2372][ 87.8116][ 87.3993][ 87.0005][ 86.6157][ 86.2451][ 85.8889][ 85.5475][  85.221][ 84.9098][ 84.6139][ 84.3335][ 84.0689][ 83.8202][ 83.5875][ 83.3709][ 83.1707][ 82.9867][ 82.8193][ 82.6683][  82.534][ 82.4163][ 82.3154][ 82.2312][ 82.1638][ 82.1132][ 82.0795][ 82.0626][ 82.0626][ 82.0795][ 82.1133][ 82.1638][ 82.2313][ 82.3155][ 82.4164][ 82.5341][ 82.6685][ 82.8195][  82.987][ 83.1709][ 83.3712][ 83.5878][ 83.8205][ 84.0692][ 84.3339][ 84.6142][ 84.9101][ 85.2214][ 85.5479][ 85.8893][ 86.2455][ 86.6161][ 87.0009][ 87.3997][  87.812][ 88.2376][ 88.6761][ 89.1271][ 89.5902][ 90.0651][ 90.5511][  91.048][ 91.5552][ 92.0721][ 92.5982][ 93.1331][  93.676][ 94.2265][ 94.7838][ 95.3473][ 95.9165][ 96.4906][  97.069][ 97.6509][ 98.2356][ 98.8226][ 99.4109][     100]
[     100][ 99.4333][ 98.8673][ 98.3027][ 97.7401][ 97.1802][ 96.6237][ 96.0713][ 95.5236][ 94.9812][ 94.4448][ 93.9149][ 93.3922][ 92.8773][ 92.3706][ 91.8727][ 91.3842][ 90.9054][ 90.4371][ 89.9794][  89.533][ 89.0982][ 88.6753][ 88.2649][ 87.8671][ 87.4824][ 87.1111][ 86.7533][ 86.4095][ 86.0799][ 85.7646][  85.464][ 85.1782][ 84.9073][ 84.6516][ 84.4113][ 84.1863][  83.977][ 83.7834][ 83.6055][ 83.4436][ 83.2976][ 83.1677][ 83.0538][ 82.9562][ 82.8747][ 82.8095][ 82.7606][  82.728][ 82.7117][ 82.7117][  82.728][ 82.7607][ 82.8096][ 82.8748][ 82.9563][  83.054][ 83.1678][ 83.2978][ 83.4438][ 83.6057][ 83.7836][ 83.9773][ 84.1866][ 84.4116][ 84.6519][ 84.9076][ 85.1785][ 85.4644][  85.765][ 86.0803][ 86.4099][ 86.7537][ 87.1115][ 87.4828][ 87.8675][ 88.2653][ 88.6757][ 89.0986][ 89.5334][ 89.9798][ 90.4374][ 90.9058][ 91.3845][ 91.8731][ 92.3709][ 92.8776][ 93.3926][ 93.9152][ 94.4451][ 94.9815][ 95.5238][ 96.0715][ 96.6239][ 97.1804][ 97.7402][ 98.3028][ 98.8674][ 99.4333][     100]
[     100][  99.455][ 98.9107][ 98.3677][ 97.8267][ 97.2882][  96.753][ 96.2217][ 95.6948][  95.173][ 94.6569][  94.147][  93.644][ 93.1483][ 92.6606][ 92.1813][ 91.7109][ 91.2499][ 90.7987][ 90.3578][ 89.9277][ 89.5087][ 89.1011][ 88.7055][  88.322][  87.951][ 87.5928][ 87.2477][  86.916][ 86.5979][ 86.2937][ 86.0035][ 85.7275][  85.466][ 85.2191][ 84.9869][ 84.7697][ 84.5674][ 84.3803][ 84.2085][  84.052][ 83.9109][ 83.7853][ 83.6753][ 83.5809][ 83.5021][ 83.4391][ 83.3918][ 83.3603][ 83.3445][ 83.3445][ 83.3603][ 83.3918][ 83.4392][ 83.5022][  83.581][ 83.6754][ 83.7855][ 83.9111][ 84.0522][ 84.2087][ 84.3806][ 84.5677][ 84.7699][ 84.9872][ 85.2194][ 85.4663][ 85.7279][ 86.0038][  86.294][ 86.5983][ 86.9164][ 87.2481][ 87.5932][ 87.9514][ 88.3224][ 88.7059][ 89.1015][ 89.5091][ 89.9281][ 90.3582][ 90.7991][ 91.2502][ 91.7112][ 92.1816][ 92.6609][ 93.1487][ 93.6443][ 94.1473][ 94.6572][ 95.1733][  95.695][ 96.2219][ 96.7532][ 97.2884][ 97.8268][ 98.3678][ 98.9108][ 99.4551][     100]
[     100][ 99.4761][ 98.9529][ 98.4309][ 97.9107][ 97.3931][ 96.8785][ 96.3675][ 95.8609][ 95.3591][ 94.8627][ 94.3723][ 93.8884][ 93.4115][ 92.9422][ 92.4809][ 92.0282][ 91.5844][ 91.1501][ 90.7256][ 90.3113][ 89.9077][ 89.5151][ 89.1339][ 88.7643][ 88.4068][ 88.0615][ 87.7288][  87.409][ 87.1022][ 86.8087][ 86.5287][ 86.2625][ 86.0101][ 85.7718][ 85.5477][  85.338][ 85.1427][ 84.9621][ 84.7961][  84.645][ 84.5087][ 84.3874][ 84.2811][ 84.1899][ 84.1139][  84.053][ 84.0073][ 83.9768][ 83.9615][ 83.9616][ 83.9768][ 84.0073][  84.053][  84.114][   84.19][ 84.2813][ 84.3876][ 84.5089][ 84.6452][ 84.7963][ 84.9623][  85.143][ 85.3383][  85.548][ 85.7721][ 86.0104][ 86.2628][ 86.5291][ 86.8091][ 87.1026][ 87.4093][ 87.7292][ 88.0619][ 88.4072][ 88.7647][ 89.1343][ 89.5155][ 89.9081][ 90.3117][  90.726][ 91.1505][ 91.5848][ 92.0286][ 92.4813][ 92.9426][ 93.4119][ 93.8887][ 94.3726][  94.863][ 95.3594][ 95.8611][ 96.3678][ 96.8786][ 97.3932][ 97.9109][  98.431][ 98.9529][ 99.4762][     100]
[     100][ 99.4966][ 98.9938][ 98.4922][ 97.9923][ 97.4948][ 97.0002][ 96.5092][ 96.0222][ 95.5398][ 95.0626][ 94.5911][ 94.1258][ 93.6672][ 93.2158][ 92.7721][ 92.3366][ 91.9096][ 91.4916][ 91.0831][ 90.6844][ 90.2958][ 89.9178][ 89.5507][ 89.1947][ 88.8503][ 88.5177][ 88.1971][ 87.8889][ 87.5932][ 87.3103][ 87.0403][ 86.7836][ 86.5402][ 86.3104][ 86.0942][ 85.8919][ 85.7035][ 85.5292][  85.369][ 85.2231][ 85.0916][ 84.9745][ 84.8719][ 84.7839][ 84.7105][ 84.6517][ 84.6075][ 84.5781][ 84.5634][ 84.5634][ 84.5782][ 84.6076][ 84.6517][ 84.7106][  84.784][ 84.8721][ 84.9747][ 85.0918][ 85.2233][ 85.3692][ 85.5294][ 85.7037][ 85.8921][ 86.0945][ 86.3107][ 86.5405][ 86.7839][ 87.0407][ 87.3106][ 87.5935][ 87.8892][ 88.1975][ 88.5181][ 88.8507][ 89.1951][ 89.5511][ 89.9182][ 90.2962][ 90.6848][ 91.0835][  91.492][   91.91][ 92.3369][ 92.7725][ 93.2162][ 93.6675][ 94.1261][ 94.5914][ 95.0629][ 95.5401][ 96.0224][ 96.5094][ 97.0004][  97.495][ 97.9924][ 98.4923][ 98.9938][ 99.4966][     100]
[     100][ 99.5165][ 99.0335][ 98.5517][ 98.0715][ 97.5936][ 97.1185][ 96.6467][ 96.1788][ 95.7154][ 95.2568][ 94.8037][ 94.3565][ 93.9157][ 93.4818][ 93.0552][ 92.6364][ 92.2258][ 91.8238][ 91.4308][ 91.0472][ 90.6734][ 90.3096][ 89.9563][ 89.6137][ 89.2821][ 88.9618][ 88.6531][ 88.3562][ 88.0714][ 87.7989][ 87.5388][ 87.2914][ 87.0568][ 86.8353][ 86.6269][ 86.4319][ 86.2502][ 86.0821][ 85.9277][  85.787][ 85.6602][ 85.5472][ 85.4482][ 85.3633][ 85.2925][ 85.2358][ 85.1932][ 85.1648][ 85.1506][ 85.1506][ 85.1648][ 85.1932][ 85.2358][ 85.2926][ 85.3634][ 85.4484][ 85.5474][ 85.6603][ 85.7872][ 85.9279][ 86.0824][ 86.2505][ 86.4321][ 86.6272][ 86.8356][ 87.0572][ 87.2917][ 87.5391][ 87.7992][ 88.0718][ 88.3566][ 88.6535][ 88.9622][ 89.2825][ 89.6141][ 89.9567][   90.31][ 90.6738][ 91.0476][ 91.4312][ 91.8242][ 92.2262][ 92.6368][ 93.0555][ 93.4821][  93.916][ 94.3568][  94.804][ 95.2571][ 95.7156][ 96.1791][ 96.6469][ 97.1187][ 97.5938][ 98.0716][ 98.5518][ 99.0336][ 99.5165][     100]
[     100][ 99.5358][ 99.0721][ 98.6095][ 98.1485][ 97.6896][ 97.2334][ 96.7804][ 96.3311][  95.886][ 95.4456][ 95.0103][ 94.5808][ 94.1573][ 93.7404][ 93.3305][  92.928][ 92.5334][  92.147][ 91.7692][ 91.4004][ 91.0409][ 90.6911][ 90.3512][ 90.0216][ 89.7026][ 89.3944][ 89.0973][ 88.8116][ 88.5374][  88.275][ 88.0246][ 87.7864][ 87.5605][ 87.3471][ 87.1464][ 86.9585][ 86.7834][ 86.6215][ 86.4727][ 86.3371][ 86.2148][  86.106][ 86.0106][ 85.9287][ 85.8604][ 85.8057][ 85.7647][ 85.7373][ 85.7236][ 85.7237][ 85.7374][ 85.7647][ 85.8058][ 85.8605][ 85.9288][ 86.0107][ 86.1061][  86.215][ 86.3373][ 86.4729][ 86.6217][ 86.7837][ 86.9587][ 87.1467][ 87.3474][ 87.5608][ 87.7867][ 88.0249][ 88.2754][ 88.5378][ 88.8119][ 89.0977][ 89.3948][  89.703][  90.022][ 90.3516][ 90.6914][ 91.0413][ 91.4008][ 91.7696][ 92.1474][ 92.5338][ 92.9284][ 93.3309][ 93.7407][ 94.1576][ 94.5811][ 95.0106][ 95.4459][ 95.8863][ 96.3313][ 96.7806][ 97.2336][ 97.6898][ 98.1486][ 98.6096][ 99.0722][ 99.5358][     100]
[     100][ 99.5546][ 99.1096][ 98.6657][ 98.2233][  97.783][ 97.3452][ 96.9104][ 96.4792][  96.052][ 95.6292][ 95.2114][  94.799][ 94.3924][ 93.9921][ 93.5984][ 93.2119][ 92.8328][ 92.4616][ 92.0986][ 91.7443][ 91.3988][ 91.0626][ 90.7359][  90.419][ 90.1123][  89.816][ 89.5302][ 89.2554][ 88.9917][ 88.7392][ 88.4983][ 88.2691][ 88.0517][ 87.8463][ 87.6531][ 87.4722][ 87.3037][ 87.1477][ 87.0044][ 86.8739][ 86.7561][ 86.6513][ 86.5594][ 86.4806][ 86.4148][ 86.3621][ 86.3226][ 86.2962][  86.283][ 86.2831][ 86.2963][ 86.3226][ 86.3622][ 86.4149][ 86.4807][ 86.5596][ 86.6515][ 86.7563][ 86.8741][ 87.0046][  87.148][ 87.3039][ 87.4724][ 87.6534][ 87.8466][  88.052][ 88.2694][ 88.4986][ 88.7396][  88.992][ 89.2558][ 89.5306][ 89.8163][ 90.1127][ 90.4194][ 90.7362][ 91.0629][ 91.3992][ 91.7446][  92.099][  92.462][ 92.8332][ 93.2122][ 93.5988][ 93.9924][ 94.3927][ 94.7993][ 95.2117][ 95.6295][ 96.0522][ 96.4794][ 96.9106][ 97.3454][ 97.7832][ 98.2235][ 98.6658][ 99.1097][ 99.5546][     100]
[     100][ 99.5728][ 99.1461][ 98.7204][ 98.2962][ 97.8738][ 97.4539][ 97.0369][ 96.6233][ 96.2135][ 95.8079][ 95.4071][ 95.0113][ 94.6212][  94.237][ 93.8593][ 93.4882][ 93.1244][  92.768][ 92.4195][ 92.0792][ 91.7475][ 91.4245][ 91.1107][ 90.8063][ 90.5116][ 90.2269][ 89.9523][ 89.6882][ 89.4347][  89.192][ 88.9603][ 88.7399][ 88.5309][ 88.3334][ 88.1475][ 87.9735][ 87.8114][ 87.6614][ 87.5235][ 87.3979][ 87.2846][ 87.1837][ 87.0953][ 87.0194][ 86.9561][ 86.9054][ 86.8673][  86.842][ 86.8293][ 86.8293][  86.842][ 86.8674][ 86.9055][ 86.9562][ 87.0195][ 87.0954][ 87.1839][ 87.2848][ 87.3981][ 87.5237][ 87.6616][ 87.8117][ 87.9738][ 88.1478][ 88.3336][ 88.5312][ 88.7402][ 88.9607][ 89.1923][  89.435][ 89.6885][ 89.9527][ 90.2273][  90.512][ 90.8067][ 91.1111][ 91.4249][ 91.7478][ 92.0796][ 92.4199][ 92.7684][ 93.1247][ 93.4886][ 93.8596][ 94.2374][ 94.6215][ 95.0116][ 95.4073][ 95.8082][ 96.2137][ 96.6235][ 97.0371][ 97.4541][  97.874][ 98.2963][ 98.7205][ 99.1462][ 99.5729][     100]
[     100][ 99.5906][ 99.1817][ 98.7737][  98.367][ 97.9623][ 97.5598][ 97.1601][ 96.7636][ 96.3707][ 95.9819][ 95.5976][ 95.2182][ 94.8441][ 94.4757][ 94.1133][ 93.7575][ 93.4085][ 93.0666][ 92.7322][ 92.4057][ 92.0873][ 91.7774][ 91.4762][  91.184][ 90.9011][ 90.6277][  90.364][ 90.1103][ 89.8669][ 89.6337][ 89.4112][ 89.1994][ 88.9986][ 88.8088][ 88.6302][ 88.4629][ 88.3072][ 88.1629][ 88.0304][ 87.9096][ 87.8007][ 87.7037][ 87.6187][ 87.5457][ 87.4848][ 87.4361][ 87.3995][ 87.3751][ 87.3629][ 87.3629][ 87.3751][ 87.3995][ 87.4361][ 87.4849][ 87.5458][ 87.6188][ 87.7038][ 87.8009][ 87.9098][ 88.0306][ 88.1632][ 88.3074][ 88.4632][ 88.6305][ 88.8091][ 88.9989][ 89.1997][ 89.4115][ 89.6341][ 89.8672][ 90.1107][ 90.3644][  90.628][ 90.9014][ 91.1844][ 91.4766][ 91.7778][ 92.0877][ 92.4061][ 92.7326][ 93.0669][ 93.4088][ 93.7578][ 94.1137][  94.476][ 94.8444][ 95.2185][ 95.5979][ 95.9822][  96.371][ 96.7638][ 97.1603][   97.56][ 97.9624][ 98.3672][ 98.7737][ 99.1817][ 99.5906][     100]
[     100][ 99.6079][ 99.2163][ 98.8255][ 98.4361][ 98.0484][ 97.6629][ 97.2801][ 96.9003][ 96.5239][ 96.1514][ 95.7832][ 95.4197][ 95.0613][ 94.7082][  94.361][ 94.0199][ 93.6854][ 93.3577][ 93.0371][ 92.7241][ 92.4188][ 92.1216][ 91.8327][ 91.5524][  91.281][ 91.0187][ 90.7658][ 90.5224][ 90.2887][  90.065][ 89.8514][ 89.6481][ 89.4553][  89.273][ 89.1016][  88.941][ 88.7914][ 88.6528][ 88.5256][ 88.4095][ 88.3049][ 88.2117][ 88.1301][   88.06][ 88.0015][ 87.9546][ 87.9195][  87.896][ 87.8843][ 87.8843][ 87.8961][ 87.9195][ 87.9547][ 88.0016][ 88.0601][ 88.1302][ 88.2119][ 88.3051][ 88.4097][ 88.5258][ 88.6531][ 88.7916][ 88.9412][ 89.1018][ 89.2733][ 89.4555][ 89.6484][ 89.8517][ 90.0653][  90.289][ 90.5227][ 90.7661][ 91.0191][ 91.2814][ 91.5528][ 91.8331][ 92.1219][ 92.4191][ 92.7244][ 93.0375][  93.358][ 93.6857][ 94.0203][ 94.3613][ 94.7085][ 95.0616][   95.42][ 95.7835][ 96.1517][ 96.5241][ 96.9005][ 97.2803][ 97.6631][ 98.0486][ 98.4362][ 98.8256][ 99.2163][ 99.6079][     100]
[     100][ 99.6248][   99.25][ 98.8761][ 98.5034][ 98.1324][ 97.7634][  97.397][ 97.0335][ 96.6732][ 96.3167][ 95.9642][ 95.6162][  95.273][  94.935][ 94.6025][ 94.2759][ 93.9555][ 93.6416][ 93.3346][ 93.0347][ 92.7422][ 92.4574][ 92.1806][  91.912][ 91.6519][ 91.4005][  91.158][ 90.9246][ 90.7006][ 90.4861][ 90.2813][ 90.0863][ 89.9014][ 89.7266][ 89.5621][  89.408][ 89.2645][ 89.1316][ 89.0095][ 88.8981][ 88.7977][ 88.7083][ 88.6299][ 88.5626][ 88.5065][ 88.4616][ 88.4278][ 88.4053][ 88.3941][ 88.3941][ 88.4053][ 88.4279][ 88.4616][ 88.5066][ 88.5628][ 88.6301][ 88.7085][ 88.7979][ 88.8983][ 89.0097][ 89.1318][ 89.2647][ 89.4083][ 89.5623][ 89.7268][ 89.9016][ 90.0866][ 90.2816][ 90.4864][ 90.7009][  90.925][ 91.1584][ 91.4008][ 91.6523][ 91.9124][  92.181][ 92.4578][ 92.7426][  93.035][ 93.3349][  93.642][ 93.9558][ 94.2762][ 94.6028][ 94.9353][ 95.2733][ 95.6165][ 95.9645][ 96.3169][ 96.6735][ 97.0337][ 97.3972][ 97.7636][ 98.1325][ 98.5035][ 98.8761][ 99.2501][ 99.6248][     100]
