[       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0]
[     100][ 99.5706][ 99.1418][ 98.7142][ 98.2885][ 97.8651][ 97.4447][ 97.0278][  96.615][ 96.2068][ 95.8037][ 95.4063][ 95.0151][ 94.6306][ 94.2533][ 93.8836][ 93.5221][ 93.1691][  92.825][ 92.4904][ 92.1656][  91.851][ 91.5469][ 91.2537][ 90.9717][ 90.7012][ 90.4426][  90.196][ 89.9619][ 89.7403][ 89.5316][ 89.3359][ 89.1535][ 88.9845][ 88.8291][ 88.6874][ 88.5597][ 88.4459][ 88.3462][ 88.2608][ 88.1896][ 88.1328][ 88.0904][ 88.0624][ 88.0488][ 88.0497][ 88.0651][  88.095][ 88.1392][ 88.1978][ 88.2708][ 88.3579][ 88.4593][ 88.5747][  88.704][ 88.8472][  89.004][ 89.1744][ 89.3581][  89.555][ 89.7648][ 89.9874][ 90.2224][ 90.4698][ 90.7291][ 91.0001][ 91.2826][ 91.5761][ 91.8804][ 92.1951][ 92.5198][ 92.8542][ 93.1978][ 93.5503][ 93.9112][ 94.2801][ 94.6565][ 95.0399][ 95.4298][ 95.8258][ 96.2273][ 96.6339][ 97.0448][ 97.4597][  97.878][ 98.2991][ 98.7224][ 99.1473][ 99.5734][     100]
[     100][ 99.5915][ 99.1837][  98.777][ 98.3721][ 97.9693][ 97.5694][ 97.1728][ 96.7801][ 96.3918][ 96.0083][ 95.6302][  95.258][ 94.8921][  94.533][ 94.1812][ 93.8371][ 93.5011][ 93.1736][  92.855][ 92.5458][ 92.2462][ 91.9566][ 91.6774][ 91.4088][ 91.1512][ 90.9049][   90.67][ 90.4469][ 90.2358][ 90.0369][ 89.8505][ 89.6766][ 89.5156][ 89.3675][ 89.2325][ 89.1107][ 89.0023][ 88.9073][ 88.8258][  88.758][ 88.7038][ 88.6634][ 88.6367][ 88.6238][ 88.6247][ 88.6394][ 88.6678][   88.71][ 88.7659][ 88.8355][ 88.9186][ 89.0152][ 89.1252][ 89.2485][  89.385][ 89.5345][ 89.6969][  89.872][ 90.0596][ 90.2595][ 90.4716][ 90.6956][ 90.9312][ 91.1782][ 91.4364][ 91.7053][ 91.9849][ 92.2746][ 92.5743][ 92.8834][ 93.2018][ 93.5289][ 93.8644][ 94.2079][ 94.5589][ 94.9171][ 95.2819][ 95.6529][ 96.0297][ 96.4117][ 96.7984][ 97.1893][  97.584][ 97.9818][ 98.3823][ 98.7849][ 99.1891][ 99.5943][     100]
[     100][ 99.6121][ 99.2248][ 98.8385][ 98.4539][ 98.0715][ 97.6916][  97.315][ 96.9419][ 96.5731][ 96.2088][ 95.8496][  95.496][ 95.1484][ 94.8072][ 94.4729][ 94.1459][ 93.8266][ 93.5154][ 93.2126][ 92.9187][ 92.6339][ 92.3586][ 92.0931][ 91.8378][ 91.5928][ 91.3585][ 91.1352][  90.923][ 90.7222][  90.533][ 90.3557][ 90.1903][ 90.0371][ 89.8962][ 89.7677][ 89.6518][ 89.5487][ 89.4583][ 89.3808][ 89.3162][ 89.2647][ 89.2262][ 89.2008][ 89.1886][ 89.1894][ 89.2034][ 89.2305][ 89.2707][ 89.3239][ 89.3901][ 89.4692][ 89.5612][ 89.6659][ 89.7832][ 89.9131][ 90.0553][ 90.2098][ 90.3764][ 90.5549][ 90.7451][ 90.9468][ 91.1598][ 91.3839][ 91.6189][ 91.8643][ 92.1201][ 92.3859][ 92.6613][ 92.9462][   93.24][ 93.5426][ 93.8535][ 94.1723][ 94.4987][ 94.8323][ 95.1725][ 95.5191][ 95.8716][ 96.2294][ 96.5923][ 96.9596][ 97.3309][ 97.7057][ 98.0835][ 98.4638][ 98.8461][   99.23][ 99.6147][     100]
[     100][ 99.6322][  99.265][ 98.8989][ 98.5342][ 98.1716][ 97.8115][ 97.4544][ 97.1007][ 96.7509][ 96.4055][ 96.0649][ 95.7295][ 95.3998][ 95.0763][ 94.7592][  94.449][ 94.1461][ 93.8508][ 93.5636][ 93.2847][ 93.0145][ 92.7532][ 92.5013][ 92.2589][ 92.0264][ 91.8041][  91.592][ 91.3906][    91.2][ 91.0204][  90.852][ 90.6949][ 90.5494][ 90.4156][ 90.2936][ 90.1836][ 90.0856][ 89.9997][ 89.9261][ 89.8648][ 89.8159][ 89.7793][ 89.7552][ 89.7436][ 89.7444][ 89.7577][ 89.7835][ 89.8217][ 89.8722][ 89.9351][ 90.0103][ 90.0976][ 90.1971][ 90.3086][ 90.4319][  90.567][ 90.7137][ 90.8719][ 91.0414][  91.222][ 91.4135][ 91.6158][ 91.8285][ 92.0515][ 92.2845][ 92.5273][ 92.7795][ 93.0409][ 93.3112][   93.59][  93.877][  94.172][ 94.4744][  94.784][ 95.1004][ 95.4231][ 95.7518][  96.086][ 96.4254][ 96.7694][ 97.1176][ 97.4697][  97.825][ 98.1832][ 98.5437][ 98.9062][   99.27][ 99.6348][     100]
[     100][  99.652][ 99.3046][ 98.9581][ 98.6131][ 98.2699][ 97.9292][ 97.5912][ 97.2565][ 96.9255][ 96.5986][ 96.2762][ 95.9588][ 95.6467][ 95.3405][ 95.0403][ 94.7467][ 94.4599][ 94.1803][ 93.9083][ 93.6442][ 93.3884][  93.141][ 92.9023][ 92.6728][ 92.4526][ 92.2419][  92.041][ 91.8502][ 91.6696][ 91.4994][ 91.3398][  91.191][ 91.0532][ 90.9264][ 90.8107][ 90.7065][ 90.6136][ 90.5322][ 90.4625][ 90.4044][  90.358][ 90.3233][ 90.3005][ 90.2895][ 90.2903][ 90.3029][ 90.3273][ 90.3635][ 90.4115][ 90.4711][ 90.5423][ 90.6252][ 90.7194][ 90.8251][  90.942][ 91.0701][ 91.2091][  91.359][ 91.5196][ 91.6908][ 91.8722][ 92.0639][ 92.2654][ 92.4766][ 92.6974][ 92.9273][ 93.1662][ 93.4137][ 93.6697][ 93.9337][ 94.2055][ 94.4847][ 94.7711][ 95.0641][ 95.3636][ 95.6691][ 95.9802][ 96.2965][ 96.6177][ 96.9432][ 97.2728][ 97.6059][ 97.9421][  98.281][ 98.6222][ 98.9651][ 99.3094][ 99.6545][     100]
[     100][ 99.6714][ 99.3434][ 99.0163][ 98.6905][ 98.3665][ 98.0447][ 97.7256][ 97.4096][  97.097][ 96.7883][ 96.4839][ 96.1841][ 95.8894][ 95.6001][ 95.3166][ 95.0392][ 94.7683][ 94.5042][ 94.2473][ 93.9977][ 93.7559][ 93.5222][ 93.2967][ 93.0798][ 92.8716][ 92.6725][ 92.4827][ 92.3023][ 92.1316][ 91.9707][ 91.8198][ 91.6791][ 91.5488][ 91.4289][ 91.3196][  91.221][ 91.1331][ 91.0562][ 90.9902][ 90.9353][ 90.8914][ 90.8587][ 90.8371][ 90.8267][ 90.8275][ 90.8394][ 90.8625][ 90.8967][ 90.9421][ 90.9985][ 91.0659][ 91.1442][ 91.2334][ 91.3333][ 91.4439][ 91.5649][ 91.6964][ 91.8382][   91.99][ 92.1518][ 92.3234][ 92.5045][  92.695][ 92.8947][ 93.1033][ 93.3206][ 93.5463][ 93.7802][ 94.0221][ 94.2715][ 94.5283][ 94.7921][ 95.0626][ 95.3394][ 95.6223][ 95.9108][ 96.2046][ 96.5033][ 96.8066][  97.114][ 97.4252][ 97.7397][ 98.0572][ 98.3771][ 98.6992][  99.023][  99.348][ 99.6738][     100]
[     100][ 99.6905][ 99.3816][ 99.0734][ 98.7666][ 98.4615][ 98.1584][ 97.8578][ 97.5601][ 97.2656][ 96.9748][ 96.6881][ 96.4057][  96.128][ 95.8554][ 95.5883][  95.327][ 95.0717][ 94.8228][ 94.5807][ 94.3455][ 94.1176][ 93.8973][ 93.6847][ 93.4803][  93.284][ 93.0963][ 92.9174][ 92.7473][ 92.5863][ 92.4346][ 92.2923][ 92.1597][ 92.0367][ 91.9237][ 91.8206][ 91.7276][ 91.6448][ 91.5722][   91.51][ 91.4582][ 91.4168][ 91.3859][ 91.3656][ 91.3557][ 91.3565][ 91.3677][ 91.3895][ 91.4219][ 91.4646][ 91.5179][ 91.5814][ 91.6553][ 91.7394][ 91.8337][  91.938][ 92.0522][ 92.1762][ 92.3099][ 92.4531][ 92.6056][ 92.7674][ 92.9382][ 93.1178][ 93.3061][ 93.5027][ 93.7075][ 93.9203][ 94.1408][ 94.3687][ 94.6038][ 94.8458][ 95.0944][ 95.3493][ 95.6101][ 95.8766][ 96.1484][ 96.4252][ 96.7066][ 96.9923][ 97.2819][  97.575][ 97.8712][ 98.1702][ 98.4716][  98.775][ 99.0799][  99.386][ 99.6928][     100]
[     100][ 99.7093][ 99.4191][ 99.1297][ 98.8415][ 98.5549][ 98.2702][ 97.9879][ 97.7082][ 97.4316][ 97.1585][  96.889][ 96.6237][ 96.3629][ 96.1068][ 95.8558][ 95.6102][ 95.3704][ 95.1365][  94.909][  94.688][ 94.4738][ 94.2667][ 94.0669][ 93.8747][ 93.6902][ 93.5138][ 93.3455][ 93.1856][ 93.0343][ 92.8916][ 92.7579][ 92.6331][ 92.5175][ 92.4112][ 92.3143][ 92.2268][ 92.1489][ 92.0807][ 92.0222][ 91.9734][ 91.9345][ 91.9055][ 91.8863][ 91.8771][ 91.8778][ 91.8884][ 91.9089][ 91.9393][ 91.9796][ 92.0296][ 92.0895][  92.159][ 92.2381][ 92.3267][ 92.4248][ 92.5322][ 92.6488][ 92.7745][ 92.9092][ 93.0527][ 93.2048][ 93.3653][ 93.5342][ 93.7112][  93.896][ 94.0886][ 94.2886][ 94.4958][   94.71][  94.931][ 95.1584][  95.392][ 95.6315][ 95.8765][ 96.1269][ 96.3823][ 96.6423][ 96.9067][ 97.1751][ 97.4471][ 97.7224][ 98.0006][ 98.2815][ 98.5646][ 98.8495][ 99.1358][ 99.4233][ 99.7115][     100]
[     100][ 99.7279][ 99.4561][ 99.1851][ 98.9153][ 98.6469][ 98.3804][  98.116][ 97.8541][ 97.5951][ 97.3393][  97.087][ 96.8386][ 96.5943][ 96.3544][ 96.1194][ 95.8893][ 95.6647][ 95.4456][ 95.2324][ 95.0254][ 94.8248][ 94.6307][ 94.4436][ 94.2635][ 94.0906][ 93.9253][ 93.7676][ 93.6178][ 93.4759][ 93.3422][ 93.2169][ 93.0999][ 92.9916][ 92.8919][ 92.8011][ 92.7191][ 92.6461][ 92.5821][ 92.5272][ 92.4816][ 92.4451][ 92.4179][ 92.3999][ 92.3913][  92.392][ 92.4019][ 92.4212][ 92.4497][ 92.4874][ 92.5343][ 92.5904][ 92.6556][ 92.7298][ 92.8129][ 92.9048][ 93.0055][ 93.1148][ 93.2327][ 93.3589][ 93.4933][ 93.6359][ 93.7864][ 93.9446][ 94.1105][ 94.2837][ 94.4641][ 94.6515][ 94.8456][ 95.0463][ 95.2533][ 95.4663][ 95.6851][ 95.9094][  96.139][ 96.3735][ 96.6126][ 96.8562][ 97.1037][  97.355][ 97.6097][ 97.8675][ 98.1281][  98.391][ 98.6561][ 98.9228][ 99.1909][ 99.4601][ 99.7299][     100]
[     100][ 99.7461][ 99.4926][ 99.2398][  98.988][ 98.7376][ 98.4889][ 98.2423][  97.998][ 97.7563][ 97.5176][ 97.2822][ 97.0503][ 96.8224][ 96.5986][ 96.3792][ 96.1645][ 95.9549][ 95.7504][ 95.5514][ 95.3582][ 95.1709][ 94.9898][ 94.8151][ 94.6469][ 94.4856][ 94.3312][  94.184][ 94.0441][ 93.9116][ 93.7868][ 93.6697][ 93.5606][ 93.4594][ 93.3663][ 93.2814][ 93.2049][ 93.1367][  93.077][ 93.0257][ 92.9831][  92.949][ 92.9236][ 92.9068][ 92.8988][ 92.8994][ 92.9087][ 92.9267][ 92.9533][ 92.9886][ 93.0324][ 93.0848][ 93.1457][  93.215][ 93.2926][ 93.3785][ 93.4725][ 93.5746][ 93.6846][ 93.8025][ 93.9281][ 94.0612][ 94.2017][ 94.3494][ 94.5043][  94.666][ 94.8344][ 95.0094][ 95.1906][ 95.3779][ 95.5711][ 95.7699][ 95.9742][ 96.1835][ 96.3977][ 96.6165][ 96.8397][  97.067][  97.298][ 97.5324][ 97.7701][ 98.0106][ 98.2537][  98.499][ 98.7463][ 98.9951][ 99.2452][ 99.4963][  99.748][     100]
[     100][ 99.7641][ 99.5286][ 99.2937][ 99.0598][ 98.8271][ 98.5961][ 98.3669][ 98.1399][ 97.9153][ 97.6935][ 97.4748][ 97.2593][ 97.0475][ 96.8395][ 96.6356][ 96.4361][ 96.2412][ 96.0512][ 95.8663][ 95.6867][ 95.5126][ 95.3442][ 95.1818][ 95.0255][ 94.8755][  94.732][ 94.5951][  94.465][ 94.3419][ 94.2258][ 94.1169][ 94.0154][ 93.9213][ 93.8348][ 93.7558][ 93.6846][ 93.6212][ 93.5657][  93.518][ 93.4784][ 93.4467][  93.423][ 93.4075][    93.4][ 93.4006][ 93.4092][ 93.4259][ 93.4507][ 93.4835][ 93.5243][  93.573][ 93.6297][ 93.6941][ 93.7663][ 93.8462][ 93.9336][ 94.0286][ 94.1309][ 94.2405][ 94.3573][ 94.4811][ 94.6117][ 94.7491][  94.893][ 95.0434][    95.2][ 95.3626][ 95.5311][ 95.7052][ 95.8848][ 96.0696][ 96.2594][ 96.4539][  96.653][ 96.8564][ 97.0638][ 97.2749][ 97.4896][ 97.7074][ 97.9282][ 98.1517][ 98.3776][ 98.6055][ 98.8352][ 99.0664][ 99.2988][ 99.5321][ 99.7659][     100]
[     100][ 99.7819][ 99.5641][ 99.3469][ 99.1306][ 98.9155][ 98.7018][ 98.4899][   98.28][ 98.0723][ 97.8672][ 97.6649][ 97.4657][ 97.2698][ 97.0774][ 96.8889][ 96.7044][ 96.5241][ 96.3484][ 96.1773][ 96.0111][ 95.8501][ 95.6944][ 95.5441][ 95.3995][ 95.2607][ 95.1279][ 95.0013][ 94.8809][  94.767][ 94.6596][ 94.5589][ 94.4649][ 94.3778][ 94.2977][ 94.2247][ 94.1588][ 94.1001][ 94.0487][ 94.0046][ 93.9679][ 93.9386][ 93.9167][ 93.9023][ 93.8954][ 93.8959][ 93.9039][ 93.9194][ 93.9424][ 93.9727][ 94.0105][ 94.0556][  94.108][ 94.1676][ 94.2345][ 94.3084][ 94.3893][ 94.4772][ 94.5719][ 94.6733][ 94.7814][ 94.8959][ 95.0168][ 95.1439][ 95.2771][ 95.4162][ 95.5611][ 95.7115][ 95.8674][ 96.0284][ 96.1945][ 96.3655][  96.541][  96.721][ 96.9051][ 97.0932][  97.285][ 97.4802][ 97.6787][ 97.8802][ 98.0844][ 98.2911][ 98.4999][ 98.7106][  98.923][ 99.1368][ 99.3517][ 99.5674][ 99.7836][     100]
[     100][ 99.7994][ 99.5992][ 99.3995][ 99.2006][ 99.0028][ 98.8064][ 98.6115][ 98.4185][ 98.2275][ 98.0389][ 97.8529][ 97.6697][ 97.4895][ 97.3126][ 97.1392][ 96.9695][ 96.8038][ 96.6421][ 96.4848][ 96.3319][ 96.1838][ 96.0405][ 95.9023][ 95.7693][ 95.6416][ 95.5195][  95.403][ 95.2922][ 95.1874][ 95.0886][ 94.9959][ 94.9095][ 94.8293][ 94.7556][ 94.6884][ 94.6278][ 94.5738][ 94.5265][ 94.4859][ 94.4521][ 94.4252][  94.405][ 94.3918][ 94.3854][ 94.3859][ 94.3933][ 94.4076][ 94.4287][ 94.4566][ 94.4914][ 94.5329][ 94.5811][  94.636][ 94.6975][ 94.7655][   94.84][ 94.9209][  95.008][ 95.1013][ 95.2007][ 95.3061][ 95.4173][ 95.5343][ 95.6568][ 95.7848][ 95.9181][ 96.0565][ 96.1998][  96.348][ 96.5008][  96.658][ 96.8194][ 96.9849][ 97.1543][ 97.3272][ 97.5036][ 97.6832][ 97.8657][  98.051][ 98.2387][ 98.4287][ 98.6208][ 98.8145][ 99.0098][ 99.2064][ 99.4039][ 99.6022][  99.801][     100]
[     100][ 99.8168][ 99.6339][ 99.4515][ 99.2699][ 99.0892][ 98.9098][ 98.7318][ 98.5554][  98.381][ 98.2088][ 98.0388][ 97.8715][ 97.7069][ 97.5453][ 97.3869][ 97.2319][ 97.0804][ 96.9327][  96.789][ 96.6494][  96.514][ 96.3831][ 96.2568][ 96.1353][ 96.0186][  95.907][ 95.8005][ 95.6993][ 95.6035][ 95.5132][ 95.4285][ 95.3495][ 95.2763][ 95.2089][ 95.1475][ 95.0921][ 95.0427][ 94.9995][ 94.9624][ 94.9315][ 94.9069][ 94.8885][ 94.8763][ 94.8705][  94.871][ 94.8777][ 94.8908][ 94.9101][ 94.9356][ 94.9674][ 95.0053][ 95.0494][ 95.0996][ 95.1558][  95.218][ 95.2861][   95.36][ 95.4396][ 95.5249][ 95.6158][ 95.7121][ 95.8137][ 95.9206][ 96.0326][ 96.1495][ 96.2713][ 96.3977][ 96.5287][ 96.6641][ 96.8037][ 96.9473][ 97.0948][  97.246][ 97.4007][ 97.5587][ 97.7199][ 97.8839][ 98.0506][ 98.2199][ 98.3914][ 98.5649][ 98.7403][ 98.9173][ 99.0957][ 99.2752][ 99.4556][ 99.6367][ 99.8182][     100]
[     100][  99.834][ 99.6683][  99.503][ 99.3384][ 99.1747][ 99.0121][ 98.8508][ 98.6911][  98.533][ 98.3769][ 98.2229][ 98.0713][ 97.9221][ 97.7757][ 97.6321][ 97.4916][ 97.3544][ 97.2205][ 97.0902][ 96.9637][  96.841][ 96.7224][ 96.6079][ 96.4977][  96.392][ 96.2908][ 96.1942][ 96.1025][ 96.0157][ 95.9338][  95.857][ 95.7854][  95.719][ 95.6579][ 95.6022][  95.552][ 95.5072][  95.468][ 95.4344][ 95.4064][ 95.3841][ 95.3674][ 95.3564][ 95.3511][ 95.3515][ 95.3577][ 95.3695][  95.387][ 95.4102][  95.439][ 95.4734][ 95.5134][ 95.5589][ 95.6098][ 95.6662][ 95.7279][ 95.7949][ 95.8672][ 95.9445][ 96.0269][ 96.1142][ 96.2063][ 96.3032][ 96.4047][ 96.5107][ 96.6211][ 96.7357][ 96.8545][ 96.9772][ 97.1037][ 97.2339][ 97.3675][ 97.5046][ 97.6448][  97.788][  97.934][ 98.0826][ 98.2337][  98.387][ 98.5424][ 98.6997][ 98.8586][  99.019][ 99.1806][ 99.3433][ 99.5067][ 99.6708][ 99.8353][     100]
[     100][ 99.8511][ 99.7023][  99.554][ 99.4064][ 99.2595][ 99.1136][ 98.9688][ 98.8255][ 98.6836][ 98.5436][ 98.4054][ 98.2693][ 98.1354][  98.004][ 97.8752][ 97.7491][ 97.6259][ 97.5058][ 97.3888][ 97.2752][ 97.1651][ 97.0586][ 96.9559][  96.857][ 96.7621][ 96.6712][ 96.5846][ 96.5022][ 96.4243][ 96.3508][ 96.2818][ 96.2175][ 96.1579][ 96.1031][ 96.0531][  96.008][ 95.9678][ 95.9326][ 95.9024][ 95.8773][ 95.8572][ 95.8423][ 95.8324][ 95.8277][  95.828][ 95.8335][ 95.8442][ 95.8599][ 95.8807][ 95.9066][ 95.9374][ 95.9733][ 96.0142][   96.06][ 96.1106][  96.166][ 96.2262][  96.291][ 96.3604][ 96.4344][ 96.5128][ 96.5955][ 96.6825][ 96.7736][ 96.8687][ 96.9678][ 97.0707][ 97.1773][ 97.2874][  97.401][ 97.5178][ 97.6378][ 97.7608][ 97.8866][ 98.0151][ 98.1461][ 98.2795][ 98.4151][ 98.5527][ 98.6921][ 98.8333][ 98.9759][ 99.1198][ 99.2648][ 99.4107][ 99.5574][ 99.7046][ 99.8522][     100]
[     100][  99.868][ 99.7361][ 99.6047][ 99.4737][ 99.3435][ 99.2142][ 99.0858][ 98.9587][  98.833][ 98.7088][ 98.5863][ 98.4656][  98.347][ 98.2305][ 98.1162][ 98.0044][ 97.8952][ 97.7887][  97.685][ 97.5843][ 97.4867][ 97.3922][ 97.3011][ 97.2134][ 97.1292][ 97.0487][ 96.9718][ 96.8988][ 96.8296][ 96.7645][ 96.7033][ 96.6463][ 96.5934][ 96.5448][ 96.5005][ 96.4605][ 96.4248][ 96.3936][ 96.3668][ 96.3445][ 96.3267][ 96.3135][ 96.3047][ 96.3005][ 96.3009][ 96.3057][ 96.3152][ 96.3291][ 96.3476][ 96.3705][ 96.3979][ 96.4298][  96.466][ 96.5066][ 96.5515][ 96.6006][  96.654][ 96.7115][ 96.7731][ 96.8387][ 96.9082][ 96.9816][ 97.0587][ 97.1395][ 97.2239][ 97.3117][  97.403][ 97.4975][ 97.5951][ 97.6958][ 97.7994][ 97.9058][ 98.0148][ 98.1264][ 98.2403][ 98.3565][ 98.4748][  98.595][  98.717][ 98.8406][ 98.9657][ 99.0921][ 99.2197][ 99.3482][ 99.4776][ 99.6077][ 99.7382][  99.869][     100]
[     100][ 99.8847][ 99.7697][ 99.6549][ 99.5406][ 99.4269][  99.314][  99.202][ 99.0911][ 98.9813][ 98.8729][ 98.7659][ 98.6606][  98.557][ 98.4553][ 98.3555][ 98.2579][ 98.1626][ 98.0696][ 97.9791][ 97.8911][ 97.8059][ 97.7234][ 97.6439][ 97.5673][ 97.4938][ 97.4234][ 97.3564][ 97.2926][ 97.2322][ 97.1753][ 97.1219][ 97.0721][ 97.0259][ 96.9835][ 96.9447][ 96.9098][ 96.8787][ 96.8514][  96.828][ 96.8086][  96.793][ 96.7814][ 96.7738][ 96.7701][ 96.7704][ 96.7747][ 96.7829][ 96.7951][ 96.8112][ 96.8313][ 96.8552][  96.883][ 96.9147][ 96.9501][ 96.9893][ 97.0323][ 97.0789][ 97.1291][ 97.1828][ 97.2401][ 97.3008][ 97.3649][ 97.4322][ 97.5028][ 97.5765][ 97.6532][ 97.7329][ 97.8154][ 97.9006][ 97.9885][  98.079][ 98.1719][ 98.2671][ 98.3645][ 98.4639][ 98.5654][ 98.6686][ 98.7735][   98.88][ 98.9879][ 99.0971][ 99.2075][ 99.3189][ 99.4311][  99.544][ 99.6575][ 99.7715][ 99.8857][     100]
[     100][ 99.9014][  99.803][ 99.7048][  99.607][ 99.5098][ 99.4132][ 99.3174][ 99.2225][ 99.1286][ 99.0359][ 98.9444][ 98.8543][ 98.7657][ 98.6786][ 98.5933][ 98.5098][ 98.4283][ 98.3487][ 98.2713][  98.196][ 98.1231][ 98.0526][ 97.9845][  97.919][ 97.8561][ 97.7959][ 97.7385][ 97.6839][ 97.6323][ 97.5836][ 97.5379][ 97.4953][ 97.4558][ 97.4194][ 97.3863][ 97.3564][ 97.3298][ 97.3065][ 97.2864][ 97.2698][ 97.2565][ 97.2466][   97.24][ 97.2369][ 97.2372][ 97.2408][ 97.2478][ 97.2583][ 97.2721][ 97.2892][ 97.3097][ 97.3335][ 97.3606][ 97.3909][ 97.4245][ 97.4612][ 97.5011][ 97.5441][ 97.5901][ 97.6391][  97.691][ 97.7458][ 97.8035][ 97.8638][ 97.9269][ 97.9925][ 98.0607][ 98.1313][ 98.2042][ 98.2794][ 98.3568][ 98.4362][ 98.5177][  98.601][ 98.6861][ 98.7728][ 98.8612][ 98.9509][  99.042][ 99.1343][ 99.2277][ 99.3221][ 99.4174][ 99.5134][   99.61][ 99.7071][ 99.8045][ 99.9022][     100]
[     100][  99.918][ 99.8361][ 99.7544][ 99.6731][ 99.5922][ 99.5119][ 99.4322][ 99.3532][ 99.2751][  99.198][ 99.1219][ 99.0469][ 98.9732][ 98.9008][ 98.8298][ 98.7603][ 98.6925][ 98.6263][ 98.5619][ 98.4993][ 98.4386][ 98.3799][ 98.3233][ 98.2688][ 98.2164][ 98.1664][ 98.1186][ 98.0732][ 98.0302][ 97.9897][ 97.9517][ 97.9162][ 97.8834][ 97.8531][ 97.8255][ 97.8007][ 97.7785][ 97.7591][ 97.7424][ 97.7286][ 97.7175][ 97.7093][ 97.7038][ 97.7012][ 97.7014][ 97.7045][ 97.7103][  97.719][ 97.7305][ 97.7448][ 97.7618][ 97.7816][ 97.8041][ 97.8294][ 97.8573][ 97.8879][ 97.9211][ 97.9568][ 97.9951][ 98.0359][ 98.0791][ 98.1247][ 98.1727][ 98.2229][ 98.2753][   98.33][ 98.3867][ 98.4454][ 98.5061][ 98.5687][  98.633][ 98.6991][ 98.7669][ 98.8362][  98.907][ 98.9792][ 99.0526][ 99.1273][ 99.2031][ 99.2799][ 99.3576][ 99.4361][ 99.5154][ 99.5952][ 99.6756][ 99.7563][ 99.8374][ 99.9186][     100]
[     100][ 99.9345][ 99.8691][ 99.8038][ 99.7389][ 99.6743][ 99.6101][ 99.5464][ 99.4833][ 99.4209][ 99.3593][ 99.2985][ 99.2386][ 99.1797][ 99.1219][ 99.0652][ 99.0097][ 98.9555][ 98.9026][ 98.8511][ 98.8011][ 98.7526][ 98.7058][ 98.6605][  98.617][ 98.5751][ 98.5351][  98.497][ 98.4607][ 98.4264][  98.394][ 98.3636][ 98.3353][  98.309][ 98.2849][ 98.2628][  98.243][ 98.2252][ 98.2097][ 98.1964][ 98.1854][ 98.1765][ 98.1699][ 98.1656][ 98.1635][ 98.1637][ 98.1661][ 98.1708][ 98.1777][ 98.1869][ 98.1983][ 98.2119][ 98.2277][ 98.2457][ 98.2659][ 98.2882][ 98.3126][ 98.3392][ 98.3677][ 98.3983][ 98.4309][ 98.4654][ 98.5019][ 98.5402][ 98.5803][ 98.6222][ 98.6659][ 98.7112][ 98.7581][ 98.8066][ 98.8566][  98.908][ 98.9608][ 99.0149][ 99.0703][ 99.1269][ 99.1845][ 99.2432][ 99.3029][ 99.3634][ 99.4248][ 99.4868][ 99.5496][ 99.6129][ 99.6766][ 99.7408][ 99.8053][ 99.8701][  99.935][     100]
[     100][ 99.9509][ 99.9019][  99.853][ 99.8044][  99.756][ 99.7079][ 99.6602][ 99.6129][ 99.5662][   99.52][ 99.4745][ 99.4296][ 99.3855][ 99.3422][ 99.2997][ 99.2581][ 99.2175][ 99.1779][ 99.1393][ 99.1019][ 99.0655][ 99.0304][ 98.9965][ 98.9639][ 98.9326][ 98.9026][  98.874][ 98.8468][ 98.8211][ 98.7968][ 98.7741][ 98.7528][ 98.7332][ 98.7151][ 98.6985][ 98.6837][ 98.6704][ 98.6588][ 98.6488][ 98.6405][ 98.6339][ 98.6289][ 98.6257][ 98.6241][ 98.6242][ 98.6261][ 98.6296][ 98.6348][ 98.6416][ 98.6502][ 98.6604][ 98.6723][ 98.6857][ 98.7009][ 98.7176][ 98.7359][ 98.7557][ 98.7772][ 98.8001][ 98.8245][ 98.8504][ 98.8777][ 98.9064][ 98.9364][ 98.9678][ 99.0005][ 99.0345][ 99.0696][  99.106][ 99.1434][ 99.1819][ 99.2215][ 99.2621][ 99.3035][ 99.3459][ 99.3891][ 99.4331][ 99.4778][ 99.5231][ 99.5691][ 99.6156][ 99.6626][   99.71][ 99.7578][ 99.8059][ 99.8542][ 99.9027][ 99.9513][     100]
